﻿﻿name;code;description
﻿1;139;1
﻿111;140;12123
﻿123;141;123123
﻿123123;142;mô tả tài sảnrửewrwer
﻿12323;143;1,23123E+14
﻿2;144;2
﻿3;145;4
﻿5;146;123
﻿5;147;5
﻿53453454354;148;234234234
﻿5564356;149;6456456456
﻿7878976678;150;3,45345E+11
﻿ádasd;151;567567
﻿ádasd;152;567568
﻿ádasd;153;567569
﻿ádasd;154;567570
﻿ádasd;155;567571
﻿ádasd;156;567572
﻿ádasd;157;567573
﻿ádasd;158;567574
﻿ádasd;159;567575
﻿ádasd;160;567576
﻿ádasd;161;567577
﻿ádasd;162;567578
﻿ádasd;163;567579
﻿ádasd;164;567580
﻿ádasd;165;567581
﻿ádasd;166;567582
﻿ádasd;167;567583
